fips_tract,city,state_abbr,NAME,total_population,poverty_rate,median_hh_income,pct_black,pct_no_internet,vacancy_rate,food_desert_proxy,food_desert_source,pct_diabetes,pct_high_bp,pct_obesity,pct_food_insecure,health_source,d4_health_imputed,fdi_score,pull_date,source
28049010202,Jackson,MS,Census Tract 102.02; Hinds County; Mississippi,4915,14.109419991772937,44702.0,93.75381485249235,0.8869179600886918,6.779661016949152,0,ACS_poverty_proxy,20.0,54.4,44.3,22.9,CDC_PLACES_2023_tract,False,29.34,2026-04-17,Census ACS 5-Year 2023
28049010203,Jackson,MS,Census Tract 102.03; Hinds County; Mississippi,2780,28.08664259927798,38065.0,97.0863309352518,6.384976525821597,9.052092228864218,1,ACS_poverty_proxy,23.1,56.2,49.8,36.9,CDC_PLACES_2023_tract,False,46.32,2026-04-17,Census ACS 5-Year 2023
28049010301,Jackson,MS,Census Tract 103.01; Hinds County; Mississippi,2477,23.8391376451078,44016.0,93.25797335486476,18.75555555555556,16.604892512972572,1,ACS_poverty_proxy,22.4,56.9,47.2,30.5,CDC_PLACES_2023_tract,False,50.05,2026-04-17,Census ACS 5-Year 2023
28049010304,Jackson,MS,Census Tract 103.04; Hinds County; Mississippi,6123,9.211387434554974,70859.0,37.23664870161685,10.070744902205575,7.789716039907906,0,ACS_poverty_proxy,13.3,43.2,36.6,15.6,CDC_PLACES_2023_tract,False,26.33,2026-04-17,Census ACS 5-Year 2023
28049010305,Jackson,MS,Census Tract 103.05; Hinds County; Mississippi,3834,10.876369327073553,56458.0,58.242044861763176,2.844638949671773,6.095890410958904,0,ACS_poverty_proxy,12.8,41.4,40.0,20.4,CDC_PLACES_2023_tract,False,25.13,2026-04-17,Census ACS 5-Year 2023
28049010400,Jackson,MS,Census Tract 104; Hinds County; Mississippi,4405,14.998574280011406,49981.0,33.870601589103295,7.857142857142857,16.304347826086957,0,ACS_poverty_proxy,8.4,30.0,30.7,14.4,CDC_PLACES_2023_tract,False,27.58,2026-04-17,Census ACS 5-Year 2023
28049010501,Jackson,MS,Census Tract 105.01; Hinds County; Mississippi,4403,4.338890157570222,82631.0,52.71405859641154,17.545030020013343,13.051044083526683,0,ACS_poverty_proxy,14.0,44.2,36.9,14.7,CDC_PLACES_2023_tract,False,28.04,2026-04-17,Census ACS 5-Year 2023
28049010502,Jackson,MS,Census Tract 105.02; Hinds County; Mississippi,3910,7.574206755373593,46540.0,68.26086956521739,20.648577101257445,9.24924924924925,0,ACS_poverty_proxy,18.4,50.7,43.2,23.9,CDC_PLACES_2023_tract,False,32.71,2026-04-17,Census ACS 5-Year 2023
28049010600,Jackson,MS,Census Tract 106; Hinds County; Mississippi,4341,16.67818475005759,57421.0,62.68140981340705,23.519553072625698,20.19616584930896,0,ACS_poverty_proxy,18.9,51.6,43.9,24.6,CDC_PLACES_2023_tract,False,37.05,2026-04-17,Census ACS 5-Year 2023
28049010700,Jackson,MS,Census Tract 107; Hinds County; Mississippi,6529,10.925056156830712,68697.0,39.11778220248124,10.454985479186837,10.755939524838013,0,ACS_poverty_proxy,12.0,39.9,36.0,17.1,CDC_PLACES_2023_tract,False,26.89,2026-04-17,Census ACS 5-Year 2023
28049010801,Jackson,MS,Census Tract 108.01; Hinds County; Mississippi,1391,29.61897915168944,29826.0,96.04601006470166,17.918088737201366,15.44011544011544,1,ACS_poverty_proxy,24.2,56.1,52.4,47.2,CDC_PLACES_2023_tract,False,51.71,2026-04-17,Census ACS 5-Year 2023
28049010804,Jackson,MS,Census Tract 108.04; Hinds County; Mississippi,1741,18.437679494543367,43150.0,55.42791499138426,7.077326343381389,14.3658810325477,0,ACS_poverty_proxy,11.9,38.4,39.5,24.7,CDC_PLACES_2023_tract,False,29.82,2026-04-17,Census ACS 5-Year 2023
28049010805,Jackson,MS,Census Tract 108.05; Hinds County; Mississippi,4070,9.453471196454949,79241.0,46.14250614250614,3.8115038115038113,0.0,0,ACS_poverty_proxy,10.6,37.9,34.9,11.9,CDC_PLACES_2023_tract,False,21.08,2026-04-17,Census ACS 5-Year 2023
